Symbol,Name,Inception,Structure,Tracks This Index,Index Description,Category,Provider,Expense Ratio,Dividend,Div Yield,Market Cap (millions),Shares (millions),Avg Vol,Beta,Asset Class,Asset Class Size,Asset Class Style,Region,Basic Materials,Communication Services,Consumer Cyclical,Consumer Defensive,Energy,Financial Services,Health Care,Industrials,Real Estate,Technology,Utilities,Leveraged,Inverse,Top Holdings,Chart,,,,,,,,,,,,,
PBS,Dynamic Media,2005-06-23,ETF,Dynamic Media Intellidex Index,"The index is comprised of stocks of U.S. media companies. The Index is designed to provide capital appreciation by thoroughly evaluating companies based on a variety of investment merit criteria, including fundamental growth, stock valuation, investment timeliness and risk factors.",Consumer Discretionary Equities,Invesco PowerShares,0.60%,$0.02,0.56%,$325.30 ,12.4," 135,856 ", 1.57 ,Equity,,,North America,0.00%,16.03%,53.53%,0.00%,0.00%,0.00%,0.00%,8.54%,0.00%,21.87%,0.00%,,,click,click,,,,,,,,,,,,,
PBTQ,Global Biotech Portfolio,2008-09-18,ETF,NASDAQ OMX Global Biotechnology Index,The Index is designed to measure the overall performance of globally traded securities of the largest and most liquid companies involved in the biotechnology industry.,Health &amp; Biotech Equities,Invesco PowerShares,0.75%,,,$0.00 ,0,,,Equity,,,Global,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
PBW,WilderHill Clean Energy Portfolio,2005-03-03,ETF,WilderHill Clean Energy Index,The Index is designed to deliver capital appreciation through the selection of companies that focus on greener and generally renewable sources of energy and technologies that facilitate cleaner energy.,Alternative Energy Equities,Invesco PowerShares,0.60%,$0.06,2.21%,$205.40 ,32.7," 451,066 ", (2.62),Equity,,,Global,11.89%,0.00%,7.50%,2.03%,4.50%,0.00%,0.00%,16.82%,0.00%,43.97%,13.29%,,,click,click,,,,,,,,,,,,,
PCA,RiverFront Tactical Growth & Income Portfolio,2008-05-20,ETF,RiverFront Global Tactical Balanced Growth & Income Index,The Index is optimized relative to a growth risk profile targeting approximately 50% equities and 50% fixed-income securities.,Diversified Portfolio,Invesco PowerShares,0.73%,$0.20,2.89%,$13.50 ,1," 7,723 ", 1.07 ,Multi-Asset,,,Global,3.66%,2.54%,4.16%,7.18%,4.99%,8.51%,5.46%,5.35%,3.46%,6.73%,3.87%,,,click,click,,,,,,,,,,,,,
PCEF,CEF Income Composite Portfolio,2010-02-19,ETF,S-Network Composite Closed-End Fund Index,The index is a rules-based index intended to give investors a means of tracking the overall performance of a global universe of U.S.-listed closed-end funds. CEFX is reconstructed on a quarterly basis from a universe of approximately 350 closed-end funds.,Total Bond Market,Invesco PowerShares,0.50%,$0.18,8.13%,$490.70 ,20.2," 141,491 ", 0.68 ,Bond,,,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
PCY,Emerging Markets Sovereign Debt Portfolio,2007-10-11,ETF,DB Emerging Market USD Liquid Balanced Index,The Index tracks the potential returns of a theoretical portfolio of liquid emerging markets U.S. dollar-denominated government bonds issued by approximately 22 emerging-market countries. The countries in the Index are selected annually pursuant to a proprietary index methodology and the membership list is rebalanced quarterly.,Emerging Markets Bonds,Invesco PowerShares,0.50%,$0.11,4.68%,"$1,852.30 ",68.4," 674,645 ", (0.73),Bond,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
PDN,FTSE RAFI Developed Markets ex-U.S. Small-Mid Portfolio,2007-09-27,ETF,FTSE RAFI Developed Markets ex-U.S. Mid-Small 1500 Index,"The Index is designed to track the performance of small and mid capitalization equities of companies domiciled in developed international markets (excluding the U.S.), selected based on the following four fundamental measures of firm size: book value, cash flow, sales and dividends.",Foreign Small &amp; Mid Cap Equities,Invesco PowerShares,0.49%,$0.30,3.25%,$103.50 ,3.8," 27,284 ", 1.70 ,Equity,Mid-Cap,Value,Developed Markets,12.41%,1.73%,18.18%,8.38%,4.22%,9.44%,4.59%,20.89%,7.43%,9.67%,1.84%,,,click,click,,,,,,,,,,,,,
PDP,DWA Technical Leaders Portfolio,2007-03-01,ETF,Dorsey Wright Technical Leaders Index,"The Index includes approximately 100 U.S.-listed companies that demonstrate powerful relative strength characteristics. The Index is constructed pursuant to Dorsey Wright proprietary methodology, which takes into account, among other factors, the performance of each of the 3,000 largest U.S.-listed companies as compared to a benchmark index, and the relative performance of industry sectors and sub-sectors.",All Cap Equities,Invesco PowerShares,0.60%,$0.03,0.77%,"$1,180.00 ",32.4," 198,045 ", 1.31 ,Equity,Mid-Cap,Blend,North America,11.14%,0.76%,25.61%,4.75%,3.52%,11.09%,6.78%,18.03%,11.03%,5.55%,1.67%,,,click,click,,,,,,,,,,,,,
PEF,FTSE RAFI Europe Portfolio,2007-06-25,ETF,FTSE RAFI Europe Index,"The Index is designed to track the performance of the largest European equities, selected based on the following four fundamental measures of firm size: book value, cash flow, sales and dividends.",Europe Equities,Invesco PowerShares,0.75%,,,$0.00 ,0,,,Equity,,,Developed Europe,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
PEJ,Dynamic Leisure & Entertainment Portfolio,2005-06-23,ETF,Dynamic Leisure and Entertainment Intellidex Index,"The index is comprised of stocks of U.S. leisure and entertainment companies. The Index is designed to provide capital appreciation by thoroughly evaluating companies based on a variety of investment merit criteria, including fundamental growth, stock valuation, investment timeliness and risk factors.",Consumer Discretionary Equities,Invesco PowerShares,0.60%,$0.07,0.60%,$195.40 ,5.8," 62,064 ", 1.61 ,Equity,,,North America,0.00%,2.79%,94.39%,0.00%,0.00%,0.00%,0.00%,0.00%,2.79%,0.00%,0.00%,,,click,click,,,,,,,,,,,,,
PEK,Market Vectors China ETF,2010-10-13,ETF,CSI 300 Index,The index consists of 300 A-Share stocks listed on the Shenzen or Shanghai Stock Exchange.,China Equities,Van Eck,0.72%,$0.70,2.30%,$28.90 ,1," 5,359 ", (2.49),Equity,,,Emerging Asia Pacific,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
PERM,Permanent ETF,2012-02-07,ETF,Solactive Permanent Index,"The index tracks the performance of four asset class categories that are designed to perform differently across different economic environments, as defined by the index provider. On each rebalance, the underlying index allocates 25% each to four asset class categories: Stocks, U.S. Treasury Bonds (Long-Term), U.S. Treasury Bonds (Short-Term), and Gold and Silver.",Diversified Portfolio,Global X,0.49%,$0.21,0.90%,$13.80 ,0.6," 5,014 ", (1.05),Multi-Asset,,,Global,2.74%,0.94%,2.37%,2.83%,2.33%,3.97%,2.44%,2.74%,5.92%,2.60%,0.28%,,,click,click,,,,,,,,,,,,,
PEX,Global Listed Private Equity ETF,2013-02-26,ETF,LPX Direct Listed Private Equity Index,The index consists of up to 30 qualifying listed private equity companies.,Financials Equities,ProShares,0.60%,$0.02,0.04%,$4.30 ,0.1, 696 , 3.73 ,Equity,Small-Cap,Value,Global,0.00%,0.00%,0.00%,0.00%,0.00%,65.95%,0.00%,2.83%,0.00%,0.00%,0.00%,,,click,click,,,,,,,,,,,,,
PEY,High Yield Dividend Achievers,2004-12-09,ETF,Dividend Achiever 50 Index,The Index is comprised of 50 stocks selected principally on the basis of dividend yield and consistent growth in dividends.,All Cap Equities,Invesco PowerShares,0.50%,$0.03,3.28%,$364.10 ,30.8," 91,106 ", 1.14 ,Equity,Multi-Cap,Value,North America,0.00%,2.28%,7.18%,13.32%,2.13%,28.97%,1.52%,7.37%,0.00%,2.03%,35.38%,,,click,click,,,,,,,,,,,,,
PEZ,Dynamic Consumer Discretionary,2006-10-12,ETF,Dynamic Consumer Discretionary Sector Intellidex Index,"The index is comprised of stocks of U.S. consumer discretionary companies. The Index is designed to provide capital appreciation by thoroughly evaluating companies based on a variety of investment merit criteria, including fundamental growth, stock valuation, investment timeliness and risk factors.",Consumer Discretionary Equities,Invesco PowerShares,0.60%,$0.05,1.01%,$24.70 ,0.6," 2,917 ", 1.40 ,Equity,,,North America,0.00%,7.97%,82.38%,3.88%,0.00%,0.00%,0.00%,1.62%,0.00%,3.83%,0.00%,,,click,click,,,,,,,,,,,,,
PFA,Dynamic Developed International Opportunities Portfolio,2007-06-13,ETF,QSG Developed International Opportunities Index,"The Index is constructed pursuant to Quantitative Services Group, LLC proprietary methodology, which evaluates, ranks and sorts more than 10,000 global securities using a proprietary multifactor model that is based on numerous measures of expected outperformance.",Foreign Large Cap Equities,Invesco PowerShares,0.75%,$0.10,0.79%,$19.70 ,1.2," 4,832 ", 1.98 ,Equity,Large-Cap,Blend,Developed Markets,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
PFEM,Fundamental Emerging Markets Local Debt Portfolio,2013-05-09,,Citi RAFI Bonds Sovereign Emerging Markets Extended Local Currency Index,"The index measures the potential return of a portfolio of bonds issued by the national governments of 18 emerging market countries, all in the respective local currency. To be included in the Index, countries must have a domestic sovereign debt rating of at least CC by Standard &amp; Poor",Emerging Markets Bonds,Invesco PowerShares,0.50%,$0.08,2.91%,$4.30 ,0.2," 9,100 ", (1.33),Bond,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
PFF,iShares U.S. Preferred Stock ETF,2007-03-26,ETF,S&P U.S. Preferred Stock Index,The index measures the performance of a selected group of preferred stocks.,Preferred Stock/Convertible Bonds,iShares,0.48%,$0.24,5.66%,"$8,350.50 ",227.1," 1,632,675 ", (0.72),Preferred Stock,,,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
PFI,Dynamic Financial,2006-10-12,ETF,Dynamic Financial Intellidex Index,"The index is comprised of stocks of U.S. financial companies. The Index is designed to provide capital appreciation by thoroughly evaluating companies based on a variety of investment merit criteria, including fundamental growth, stock valuation, investment timeliness and risk factors.",Financials Equities,Invesco PowerShares,0.60%,$0.09,1.78%,$27.60 ,1," 4,822 ", 1.49 ,Equity,,,North America,0.00%,0.00%,0.00%,0.00%,0.00%,98.29%,0.00%,1.39%,0.00%,0.00%,0.00%,,,click,click,,,,,,,,,,,,,
PFIG,Fundamental Investment Grade Corporate Bond Portfolio,2011-09-15,ETF,RAFI Investment Grade Corporate Bond Index,"The index is comprised of U.S. dollar-denominated bonds registered for sale in the United States whose issuers are public companies listed on a major U.S. stock exchange. Only securities rated BBB/Baa or higher by both Moody's and S&amp;P, with greater than one year to maturity qualify for inclusion in the Index. Based on the Fundamental Index methodology developed by Research Affiliates, LLC, the underlying Index is reconstituted at the end of each month and the target RAFI weights are revised and rebalanced annually.",Corporate Bonds,Invesco PowerShares,0.22%,$0.05,2.13%,$34.80 ,1.4," 26,208 ", (0.45),Bond,,,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
PFM,Dividend Achievers,2005-09-15,ETF,Broad Dividend Achiever Index,The Index is designed to identify a diversified group of dividend paying companies. These companies have increased their annual dividend for ten or more consecutive fiscal years.,Large Cap Value Equities,Invesco PowerShares,0.50%,$0.11,2.51%,$342.40 ,17.3," 44,584 ", 0.93 ,Equity,Large-Cap,Value,North America,5.35%,4.70%,12.62%,21.05%,18.19%,4.39%,9.59%,12.48%,1.41%,6.05%,4.18%,,,click,click,,,,,,,,,,,,,
PFXF,Market Vectors Preferred Securities ex Financials ETF,2012-07-17,ETF,Wells Fargo Hybrid and Preferred Securities ex Financials Index,"This index is comprised of convertible or exchangeable and non-convertible preferred securities listed on U.S. exchanges, excluding securities with a �financial� industry sector classification.",Preferred Stock/Convertible Bonds,Van Eck,0.40%,$0.10,6.48%,$124.30 ,6.6," 39,781 ", (0.58),Preferred Stock,,,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
PGAL,FTSE Portugal 20 ETF,2013-11-12,ETF,FTSE Portugal 20 Index,"The index is designed to reflect broad based equity market performance in Portugal. The stocks are screened for liquidity and weighted according to modified free-float market capitalization. The index is comprised of the top 20 companies that are domiciled in, principally traded in or whose revenues are primarily from Portugal.",Europe Equities,Global X,0.61%,,,$1.60 ,0.1,, -   ,Equity,,,Developed Europe,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
PGD,Asian & Gulf Currency Revaluation ETN,2008-02-05,ETN,Barclays Capital Global Emerging Markets Strategy Pegged Index,"The goal of the Barclays Capital GEMS Pegged Index is to provide investors with exposure to local currencies in specified Middle Eastern and Asian markets through short-term, liquid and diversified instruments. The constituent currencies include the Chinese yuan, the Hong Kong dollar, the Saudi Arabia riyal, the Singapore dollar and the United Arab Emirates dirham.",Currency,Barclays iPath,0.89%,$0.03,0.89%,$1.30 ,0, 192 , (0.71),Currency,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
PGF,Financial Preferred Portfolio,2006-12-01,ETF,Wachovia Hybrid & Preferred Securities Financial Index,The Index tracks the performance of U.S. listed preferred stocks of preferred stocks issued in the US market by financial institutions and currently includes approximately 30 securities selected by Wachovia pursuant to a proprietary selection methodology.,Preferred Stock/Convertible Bonds,Invesco PowerShares,0.60%,$0.10,6.65%,"$1,412.90 ",83.7," 519,022 ", (0.38),Preferred Stock,,,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
PGHY,PowerShares Global Short Term High Yield Bond Portfolio,2013-06-20,ETN,DB Global Short Maturity High Yield Bond Index,"The index will track US and foreign short-term, non-investment grade bonds denominated in US dollars and is rebalanced quarterly and re-weighted annually.",High Yield Bonds,Invesco PowerShares,0.35%,$0.08,1.91%,$26.10 ,1.1," 18,617 ", 0.31 ,Bond,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
PGJ,Golden Dragon Halter USX China Portfolio,2004-12-09,ETF,Halter USX China Index,The Index is comprised of the U.S.-listed securities of companies that derive a majority of their revenue from the People's Republic of China.,China Equities,Invesco PowerShares,0.60%,$0.14,1.29%,$320.90 ,10.7," 181,098 ", 2.52 ,Equity,,,Emerging Asia Pacific,1.80%,9.19%,12.02%,5.67%,7.12%,1.32%,8.50%,4.21%,1.19%,48.84%,0.48%,,,click,click,,,,,,,,,,,,,
PGM,DJ UBS Platinum Trust Sub-Index ETN,2008-06-24,ETN,Dow Jones-UBS Platinum Subindex Total Return,The Dow Jones-UBS Platinum Subindex Total Return is a single-commodity sub-index currently consisting of one futures contract on the commodity of platinum.,Precious Metals,Barclays iPath,0.75%,,,$15.50 ,0.5," 3,160 ", (2.06),Commodity,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
PGX,Preferred Portfolio,2008-01-31,ETF,BofA Merrill Lynch Core Fixed Rate Preferred Securities Index,The Index is designed to replicate the total return of a diversified group of investment-grade preferred securities.,Preferred Stock/Convertible Bonds,Invesco PowerShares,0.50%,$0.07,6.79%,"$1,969.40 ",146.8," 947,237 ", (0.42),Preferred Stock,,,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
PHB,Fundamental High Yield Corporate Bond Portfolio,2007-11-15,ETF,RAFI High Yield Bond Index,"The Index measures potential returns of a theoretical portfolio of high yield, U.S. dollar denominated corporate bonds registered for sale in the United States whose issuers are public companies listed on a major U.S. stock exchange.",High Yield Bonds,Invesco PowerShares,0.50%,$0.07,4.62%,$642.90 ,33.5," 310,939 ", 0.28 ,Bond,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
PHDG,PowerShares S&P 500 Downside Hedged Portfolio,2012-12-06,ETF,S&P 500 Dynamic VEQTOR Total Return Index,"The index seeks to provide investors with broad equity market exposure with an implied volatility hedge by dynamically allocating its notional investments among three components: equity, volatility and cash.",Large Cap Blend Equities,Invesco PowerShares,0.39%,$0.29,1.85%,$112.30 ,4.1," 38,122 ", 0.86 ,Equity,Large-Cap,Blend,North America,2.37%,3.04%,8.79%,7.82%,7.97%,11.60%,9.44%,7.50%,1.63%,12.68%,2.43%,,,click,click,,,,,,,,,,,,,
PHO,Water Resource Portfolio,2005-12-06,ETF,NASDAQ OMX US Water Index,"This index seeks to track the performance of U.S. exchange-listed companies that create products designed to conserve and purify water for homes, businesses and industries.",Water Equities,Invesco PowerShares,0.60%,$0.02,0.65%,$990.90 ,38," 97,508 ", 1.32 ,Equity,,,North America,0.36%,0.00%,0.00%,0.00%,0.00%,0.00%,8.52%,62.59%,0.00%,5.90%,22.60%,,,click,click,,,,,,,,,,,,,
PIC,Dynamic Insurance,2005-10-26,ETF,Insurance Intellidex Index,"The index is comprised of stocks of U.S. insurance companies. The Index is designed to provide capital appreciation by thoroughly evaluating companies based on a variety of investment merit criteria, including fundamental growth, stock valuation, investment timeliness and risk factors.",Financials Equities,Invesco PowerShares,0.60%,$0.12,1.21%,$8.50 ,0.5," 5,898 ", 1.20 ,Equity,,,North America,0.00%,0.00%,0.00%,0.00%,0.00%,98.51%,0.00%,0.00%,0.00%,0.00%,0.00%,,,click,click,,,,,,,,,,,,,
PICB,International Corporate Bond Portfolio,2010-06-03,ETF,S&P International Corporate Bond Index,"The Index measures the performance of investment-grade corporate bonds issued by non-U.S. issuers in the following currencies: Australian Dollar (AUD), British Pound (GBP), Canadian Dollar (CAD), Euro (EUR), Japanese Yen (JPY), Swiss Franc (CHF), Danish Krone (DKK), New Zealand Dollar (NZD), Norwegian Krone (NOK) and Swedish Krona (SEK).",Corporate Bonds,Invesco PowerShares,0.50%,$0.07,2.75%,$165.50 ,5.7," 39,202 ", 0.53 ,Bond,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
PICK,iShares MSCI Global Metals & Mining Producers ETF,2012-01-31,ETF,MSCI ACWI Select Metals & Mining Producers Ex Gold & Silver Investable Market Index,"This index measures the equity performance of companies in both developed and emerging markets that are primarily involved in the extraction and production of diversified metals, aluminum, steel and precious metals and minerals, excluding gold and silver.",Commodity Producers Equities,iShares,0.39%,$0.45,3.45%,$138.60 ,7.1," 129,897 ", (1.81),Equity,,,Global,91.38%,0.00%,0.25%,0.00%,0.00%,0.30%,0.00%,2.96%,0.00%,0.00%,0.00%,,,click,click,,,,,,,,,,,,,
